//******************************
// Texts for Big Map Campaigns
//******************************

// Resource Names

StratRes0	No Resource
//rem info All your troops {CR}+10{C} к Kills'am (experience) - рандом за села-квесты

#AddLowExp2SQ1	After a successful battle your troops gained useful experience.\(all troops {CR}+10 experience{C})
#AddLowExp2SQ2	After the battle, the sergeants taught the soldiers new techniques.\(all troops {CR}+10 experience{C})
#AddLowExp2SQ3	After this operation, faith in victory grew even higher among your troops!\(all troops {CR}+10 experience{C})


//rem info ¬ св€зи с чемто плохим ћораль вражеского гарнизона падает до 33. хорошие шансы дл€ быстрой атаки! поторопитесь!

#DownMorale2SQ1	%s! Due to the epidemic, the morale of enemy troops has fallen!({CR}morale of enemy troops =33{C}).\This is an excellent opportunity to perform a fast attack! Don't lose it!
#DownMorale2SQ2	%s! Enemy troops are not ready for this battle! Your opponent is demoralized! ({CR}morale of the troops =33{C})\This is an excellent chance for a quick victory! Don't waste it!
#DownMorale2SQ3	%s! Enemy troops are demoralized! They have no trust in the victory of their army! ({CR}morale of the troops =33{C})\They are easy to defeat! Don't lose your chance!




#PlayerLooseSquads	All of the troops are defeated!
#EnemyLooseSquads	All of the enemy troops are defeated!

#RebelDefeat1	The army crushed the main rebel forces! The rest of the units laid down their arms. The riot was stifled.
#RebelDefeat2	The army seized most of villages in this sector! The rebels were disheartened so they laid down their arms and went home. The riot was stifled. 

#GetDefenderRes	Resources from villages in sector have been transferred for your use (%s).

Traps_mess	There are resources in the bags of the defeated enemy soldiers (%s).


-----

#GetTribe0	There are resources in the captured village's storehouse -{CR}%d{C} %s.


//#GetTribe1	Behind the locked doors of the storehouse, soldiers discovered sacks with resources- {CR}%d{C} %s.
//#GetTribe2	Villagers have gladly provided the soldiers with resources from storehouses - {CR}%d{C} %s.
//#GetTribe3	Soldiers have captured goods in the village - {CR}%d{C} %s.
//#GetTribe4	Soldiers have captured goods in the village - {CR}%d{C} %s.

//#GETTRIBES	The soldiers came across a storehouse in a village and found - {CR}%d{C} %s.


The End.   
***************************************
***************************************
